word	year	freq
vertues	1500	0
vertues	1550	10
vertues	1600	7
vertues	1650	3
vertues	1700	0
vertues	1750	0
chap	1500	0
chap	1550	0
chap	1600	0
chap	1650	1
chap	1700	0
chap	1750	0
names	1500	0
names	1550	10
names	1600	20
names	1650	35
names	1700	0
names	1750	0
description	1500	0
description	1550	1
description	1600	29
description	1650	7
description	1700	0
description	1750	0
temperature	1500	0
temperature	1550	0
temperature	1600	3
temperature	1650	2
temperature	1700	0
temperature	1750	0
sea	1500	1
sea	1550	53
sea	1600	69
sea	1650	2
sea	1700	0
sea	1750	0
god	1500	1
god	1550	7
god	1600	4
god	1650	0
god	1700	0
god	1750	0
