word	year	freq
england	1500	0
england	1550	0
england	1600	0
england	1650	0
england	1700	0
england	1750	0
sea	1500	0
sea	1550	171
sea	1600	55
sea	1650	26
sea	1700	0
sea	1750	0
denmark	1500	1
denmark	1550	0
denmark	1600	0
denmark	1650	0
denmark	1700	0
denmark	1750	0
scotland	1500	2
scotland	1550	0
scotland	1600	0
scotland	1650	0
scotland	1700	0
scotland	1750	0
duke	1500	110
duke	1550	18
duke	1600	14
duke	1650	0
duke	1700	0
duke	1750	0
kynge	1500	479
kynge	1550	15
kynge	1600	0
kynge	1650	0
kynge	1700	0
kynge	1750	0
english	1500	0
english	1550	1
english	1600	1
english	1650	0
english	1700	0
english	1750	0
kings	1500	0
kings	1550	35
kings	1600	40
kings	1650	5
kings	1700	0
kings	1750	0
denmarke	1500	3
denmarke	1550	0
denmarke	1600	0
denmarke	1650	0
denmarke	1700	0
denmarke	1750	0
kyng	1500	210
kyng	1550	15
kyng	1600	0
kyng	1650	0
kyng	1700	0
kyng	1750	0
