word	year	freq
god	1500	10
god	1550	3
god	1600	1
god	1650	7
god	1700	0
god	1750	0
chap	1500	0
chap	1550	0
chap	1600	1
chap	1650	1
chap	1700	0
chap	1750	0
church	1500	0
church	1550	8
church	1600	1
church	1650	2
church	1700	0
church	1750	0
bishop	1500	0
bishop	1550	9
bishop	1600	5
bishop	1650	1
bishop	1700	0
bishop	1750	0
christ	1500	0
christ	1550	1
christ	1600	1
christ	1650	0
christ	1700	0
christ	1750	0
holy	1500	7
holy	1550	35
holy	1600	230
holy	1650	201
holy	1700	2
holy	1750	0
city	1500	0
city	1550	4
city	1600	41
city	1650	24
city	1700	0
city	1750	0
vales	1500	0
vales	1550	0
vales	1600	1
vales	1650	0
vales	1700	0
vales	1750	0
christians	1500	0
christians	1550	4
christians	1600	1
christians	1650	3
christians	1700	0
christians	1750	0
