word	year	freq
sea	1500	0
sea	1550	106
sea	1600	85
sea	1650	26
sea	1700	0
sea	1750	0
spaniards	1500	0
spaniards	1550	1
spaniards	1600	0
spaniards	1650	0
spaniards	1700	0
spaniards	1750	0
leagues	1500	0
leagues	1550	83
leagues	1600	115
leagues	1650	90
leagues	1700	0
leagues	1750	0
peru	1500	0
peru	1550	1
peru	1600	0
peru	1650	0
peru	1700	0
peru	1750	0
land	1500	0
land	1550	49
land	1600	68
land	1650	49
land	1700	1
land	1750	0
dios	1500	0
dios	1550	3
dios	1600	4
dios	1650	7
dios	1700	0
dios	1750	0
south	1500	0
south	1550	10
south	1600	5
south	1650	26
south	1700	0
south	1750	0
ships	1500	0
ships	1550	53
ships	1600	52
ships	1650	15
ships	1700	0
ships	1750	0
nombre	1500	0
nombre	1550	0
nombre	1600	2
nombre	1650	1
nombre	1700	0
nombre	1750	0
