word	year	freq
spaniards	1500	0
spaniards	1550	2
spaniards	1600	1
spaniards	1650	0
spaniards	1700	0
spaniards	1750	0
sea	1500	0
sea	1550	174
sea	1600	203
sea	1650	44
sea	1700	0
sea	1750	0
chap	1500	0
chap	1550	2
chap	1600	0
chap	1650	1
chap	1700	0
chap	1750	0
gold	1500	0
gold	1550	119
gold	1600	201
gold	1650	65
gold	1700	0
gold	1750	0
world	1500	0
world	1550	57
world	1600	313
world	1650	147
world	1700	0
world	1750	0
god	1500	0
god	1550	30
god	1600	18
god	1650	5
god	1700	0
god	1750	0
land	1500	0
land	1550	177
land	1600	280
land	1650	67
land	1700	0
land	1750	0
leagues	1500	0
leagues	1550	163
leagues	1600	272
leagues	1650	147
leagues	1700	0
leagues	1750	0
reason	1500	0
reason	1550	232
reason	1600	723
reason	1650	487
reason	1700	16
reason	1750	0
