word	year	freq
duke	1500	0
duke	1550	13
duke	1600	61
duke	1650	0
duke	1700	0
duke	1750	0
prince	1500	0
prince	1550	16
prince	1600	59
prince	1650	4
prince	1700	0
prince	1750	0
kings	1500	0
kings	1550	27
kings	1600	178
kings	1650	13
kings	1700	0
kings	1750	0
princes	1500	0
princes	1550	12
princes	1600	47
princes	1650	5
princes	1700	0
princes	1750	0
peace	1500	0
peace	1550	14
peace	1600	159
peace	1650	279
peace	1700	0
peace	1750	0
church	1500	0
church	1550	2
church	1600	13
church	1650	12
church	1700	0
church	1750	0
emperour	1500	0
emperour	1550	0
emperour	1600	16
emperour	1650	0
emperour	1700	0
emperour	1750	0
