word	year	freq
sea	1500	2
sea	1550	241
sea	1600	368
sea	1650	42
sea	1700	0
sea	1750	0
prince	1500	0
prince	1550	66
prince	1600	146
prince	1650	3
prince	1700	0
prince	1750	0
duke	1500	0
duke	1550	58
duke	1600	56
duke	1650	3
duke	1700	0
duke	1750	0
kings	1500	0
kings	1550	108
kings	1600	408
kings	1650	19
kings	1700	0
kings	1750	0
ships	1500	0
ships	1550	277
ships	1600	642
ships	1650	190
ships	1700	0
ships	1750	0
england	1500	0
england	1550	1
england	1600	0
england	1650	0
england	1700	0
england	1750	0
long	1500	0
long	1550	290
long	1600	1001
long	1650	1321
long	1700	34
long	1750	0
brought	1500	0
brought	1550	413
brought	1600	1040
brought	1650	1332
brought	1700	51
brought	1750	0
