word	year	freq
pope	1500	0
pope	1550	19
pope	1600	0
pope	1650	0
pope	1700	0
pope	1750	0
god	1500	0
god	1550	10
god	1600	0
god	1650	0
god	1700	0
god	1750	0
duke	1500	0
duke	1550	5
duke	1600	0
duke	1650	0
duke	1700	0
duke	1750	0
power	1500	0
power	1550	116
power	1600	53
power	1650	88
power	1700	0
power	1750	0
prince	1500	0
prince	1550	43
prince	1600	18
prince	1650	0
prince	1700	0
prince	1750	0
turks	1500	0
turks	1550	1
turks	1600	0
turks	1650	0
turks	1700	0
turks	1750	0
hauing	1500	0
hauing	1550	156
hauing	1600	118
hauing	1650	0
hauing	1700	0
hauing	1750	0
