word	year	freq
emperour	1500	1
emperour	1550	0
emperour	1600	8
emperour	1650	0
emperour	1700	0
emperour	1750	0
duke	1500	0
duke	1550	77
duke	1600	29
duke	1650	0
duke	1700	0
duke	1750	0
church	1500	0
church	1550	9
church	1600	10
church	1650	1
church	1700	0
church	1750	0
sea	1500	0
sea	1550	115
sea	1600	80
sea	1650	13
sea	1700	0
sea	1750	0
prince	1500	0
prince	1550	71
prince	1600	27
prince	1650	1
prince	1700	0
prince	1750	0
tartars	1500	0
tartars	1550	1
tartars	1600	0
tartars	1650	0
tartars	1700	0
tartars	1750	0
lord	1500	0
lord	1550	109
lord	1600	7
lord	1650	0
lord	1700	0
lord	1750	0
god	1500	0
god	1550	5
god	1600	1
god	1650	3
god	1700	0
god	1750	0
