word	year	freq
duke	1500	7
duke	1550	4
duke	1600	7
duke	1650	11
duke	1700	0
duke	1750	0
prince	1500	8
prince	1550	30
prince	1600	29
prince	1650	17
prince	1700	0
prince	1750	0
england	1500	0
england	1550	4
england	1600	0
england	1650	0
england	1700	0
england	1750	0
pope	1500	0
pope	1550	1
pope	1600	1
pope	1650	4
pope	1700	0
pope	1750	0
war	1500	4
war	1550	25
war	1600	106
war	1650	824
war	1700	3
war	1750	0
french	1500	0
french	1550	5
french	1600	1
french	1650	0
french	1700	0
french	1750	0
kings	1500	0
kings	1550	53
kings	1600	180
kings	1650	72
kings	1700	0
kings	1750	0
peace	1500	14
peace	1550	51
peace	1600	360
peace	1650	1333
peace	1700	4
peace	1750	0
princes	1500	4
princes	1550	17
princes	1600	21
princes	1650	9
princes	1700	1
princes	1750	0
