word	year	freq
duke	1500	0
duke	1550	9
duke	1600	29
duke	1650	5
duke	1700	0
duke	1750	0
kings	1500	0
kings	1550	6
kings	1600	106
kings	1650	3
kings	1700	0
kings	1750	0
prince	1500	0
prince	1550	7
prince	1600	58
prince	1650	0
prince	1700	0
prince	1750	0
peace	1500	0
peace	1550	7
peace	1600	97
peace	1650	150
peace	1700	0
peace	1750	0
majesty	1500	0
majesty	1550	0
majesty	1600	2
majesty	1650	1
majesty	1700	0
majesty	1750	0
princes	1500	0
princes	1550	3
princes	1600	64
princes	1650	0
princes	1700	0
princes	1750	0
