word	year	freq
god	1500	364
god	1550	72
god	1600	70
god	1650	55
god	1700	0
god	1750	0
christ	1500	0
christ	1550	2
christ	1600	1
christ	1650	0
christ	1700	0
christ	1750	0
church	1500	68
church	1550	188
church	1600	122
church	1650	22
church	1700	0
church	1750	0
lord	1500	42
lord	1550	47
lord	1600	62
lord	1650	3
lord	1700	0
lord	1750	0
word	1500	94
word	1550	340
word	1600	980
word	1650	2052
word	1700	31
word	1750	0
death	1500	59
death	1550	526
death	1600	930
death	1650	1196
death	1700	13
death	1750	0
chap	1500	0
chap	1550	1
chap	1600	4
chap	1650	14
chap	1700	0
chap	1750	0
city	1500	0
city	1550	264
city	1600	221
city	1650	138
city	1700	0
city	1750	0
saith	1500	14
saith	1550	183
saith	1600	962
saith	1650	1445
saith	1700	3
saith	1750	0
antiochus	1500	2
antiochus	1550	1
antiochus	1600	0
antiochus	1650	0
antiochus	1700	0
antiochus	1750	0
