word	year	freq
trade	1500	1
trade	1550	2
trade	1600	48
trade	1650	52
trade	1700	0
trade	1750	0
god	1500	20
god	1550	5
god	1600	2
god	1650	3
god	1700	0
god	1750	0
long	1500	25
long	1550	44
long	1600	88
long	1650	180
long	1700	4
long	1750	0
hym	1500	196
hym	1550	42
hym	1600	0
hym	1650	0
hym	1700	0
hym	1750	0
brought	1500	36
brought	1550	53
brought	1600	105
brought	1650	150
brought	1700	3
brought	1750	0
kynge	1500	194
kynge	1550	4
kynge	1600	0
kynge	1650	0
kynge	1700	0
kynge	1750	0
sir	1500	73
sir	1550	5
sir	1600	3
sir	1650	0
sir	1700	0
sir	1750	0
